,Quarter,Institute,Country,Currency,ECL Stage 1,ECL Stage 2,ECL Stage 3,ECL POCI,ECL Performing,ECL Default,ECL Total,EAD Stage 1,EAD Stage 2,EAD Stage 3,EAD POCI,EAD Performing,EAD Default,EAD Total,Unnamed: 18,NPL Ratio,Coverage Ratio Performing,Coverage Ratio Default,Coverage Ratio Total,Share S1 (EAD),Share S2 (EAD),Share S3/Poci (EAD),Unnamed: 26,Exchange Rate,FCCY
60,2020-12-31,DZ Bank,DEU,EUR,246.0,336.0,1661.0,7.0,582.0,1668.0,2250.0,,,3722.3486842105262,69.0,186502.65131578947,3791.3486842105262,190294.0,,0.0199236375514232,0.0031205990686671136,0.4399489835758349,0.011823809473761653,,,0.0199236375514232,,,
61,2018-06-30,LBBW,DEU,EUR,137.0,248.0,513.0,23.0,385.0,536.0,921.0,96357.0,12686.0,1019.0,72.0,109043.0,1091.0,110134.0,,0.009906114369767738,0.0035307172399878946,0.4912923923006416,0.008362540178328218,0.8749069315561043,0.11518695407412788,0.009906114369767738,,,
62,2018-12-31,LBBW,DEU,EUR,42.0,287.0,499.0,21.0,329.0,520.0,849.0,94525.0,14537.0,957.0,61.0,109062.0,1018.0,110080.0,,0.009247819767441861,0.003016632741009701,0.5108055009823183,0.007712572674418604,0.8586936773255814,0.13205850290697674,0.009247819767441861,,,
63,2019-06-30,LBBW,DEU,EUR,31.0,292.0,535.0,19.0,323.0,554.0,877.0,91140.0,18973.0,1029.0,55.0,110113.0,1084.0,111197.0,,0.009748464436990206,0.0029333502856156855,0.511070110701107,0.007886903423653516,0.8196264287705604,0.17062510679244944,0.009748464436990206,,,
64,2019-12-31,LBBW,DEU,EUR,33.0,294.0,549.0,1.0,327.0,550.0,877.0,96214.0,13888.0,1064.0,31.0,110102.0,1095.0,111197.0,,0.009847387969099886,0.002969973297487784,0.502283105022831,0.007886903423653516,0.8652571562182433,0.12489545581265682,0.009847387969099886,,,
65,2020-06-30,LBBW,DEU,EUR,37.0,358.0,740.0,1.0,395.0,741.0,1136.0,101620.0,13979.0,1298.0,33.0,115599.0,1331.0,116930.0,,0.011382878645343368,0.0034169845759911416,0.5567242674680691,0.009715214230736338,0.8690669631403404,0.11955015821431626,0.011382878645343368,,,
66,2020-12-31,LBBW,DEU,EUR,16.0,520.0,541.0,0.0,536.0,541.0,1077.0,69272.0,38840.0,1053.0,28.0,108112.0,1081.0,109193.0,,0.009899902008370499,0.004957821518425337,0.5004625346901017,0.009863269623510664,0.6343996410026284,0.3557004569890011,0.009899902008370499,,,
67,2017-12-31,HVB,DEU,EUR,140.0,181.0,1771.0,0.0,321.0,1771.0,2092.0,112760.0,6818.0,3502.0,0.0,119578.0,3502.0,123080.0,,0.02845303867403315,0.002684440281657161,0.5057110222729868,0.01699707507312317,0.9161520961975951,0.055394865128371794,0.02845303867403315,,,
68,2018-06-30,HVB,DEU,EUR,143.0,169.0,1582.0,0.0,312.0,1582.0,1894.0,123260.0,6143.0,3042.0,0.0,129403.0,3042.0,132445.0,,0.022968024462984637,0.0024110723862661608,0.5200525969756739,0.01430027558609234,0.9306504586809619,0.046381516856053455,0.022968024462984637,,,
69,2018-12-31,HVB,DEU,EUR,139.0,187.0,1620.0,0.0,326.0,1620.0,1946.0,124753.0,7915.0,2984.0,0.0,132668.0,2984.0,135652.0,,0.021997464099312948,0.002457261736062954,0.5428954423592494,0.014345531212219502,0.9196547046855188,0.058347831215168226,0.021997464099312948,,,
70,2019-06-30,HVB,DEU,EUR,134.0,210.0,1583.0,0.0,344.0,1583.0,1927.0,128664.0,9486.0,2950.0,0.0,138150.0,2950.0,141100.0,,0.020907158043940468,0.0024900470503076365,0.5366101694915254,0.01365698086463501,0.911863926293409,0.0672289156626506,0.020907158043940468,,,
71,2019-12-31,HVB,DEU,EUR,139.0,237.0,1454.0,0.0,376.0,1454.0,1830.0,127733.0,11060.0,2669.0,0.0,138793.0,2669.0,141462.0,,0.01886725763809362,0.00270907034216423,0.5447733233420757,0.012936336259914324,0.9029492019058122,0.07818354045609421,0.01886725763809362,,,
72,2020-06-30,HVB,DEU,EUR,174.0,448.0,1512.0,0.0,622.0,1512.0,2134.0,129743.0,19989.0,2779.0,0.0,149732.0,2779.0,152511.0,,0.018221636472123322,0.004154088638367216,0.5440806045340051,0.013992433332677643,0.8507124076296136,0.1310659558982631,0.018221636472123322,,,
